koi_period,koi_duration,koi_depth,koi_prad,koi_model_snr,koi_impact,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disposition,koi_disposition_encoded
4.431238488,3.15,1010.0,3.25,71.1,0.405,5714.0,4.428,1.015,15.367,0,0,0,0,CONFIRMED,0
11.37936986,2.6255,1020.0,3.95,37.9,0.911,5714.0,4.428,1.015,15.367,0,0,0,0,CONFIRMED,0
26.39432897,3.573,1510.0,3.07,48.2,0.602,5129.0,4.595,0.763,15.234,0,0,0,0,CONFIRMED,0
13.57078281,3.3539,512.0,2.64,88.4,0.866,5854.0,4.406,1.012,12.882,0,0,0,0,CONFIRMED,0
7.12594387,3.0014,192.0,1.79,47.1,0.898,5779.0,4.339,1.087,12.791,0,0,0,0,CONFIRMED,0
7.442652004,2.3078,24400.0,15.03,835.6,0.137,6108.0,4.469,0.956,15.27,0,1,0,0,FALSE POSITIVE,2
16.38489988,3.0249,1130.0,2.0,28.9,0.001,4126.0,4.661,0.615,15.095,0,0,0,0,CONFIRMED,0
7.8774163,2.0805,1310.0,2.16,38.7,0.041,4126.0,4.661,0.615,15.095,0,0,0,0,CONFIRMED,0
36.4454001,4.007,1120.0,1.99,21.7,0.028,4126.0,4.661,0.615,15.095,0,0,0,0,CONFIRMED,0
3.728732147,2.683,5230.0,6.02,345.2,0.558,5497.0,4.577,0.809,15.523,0,0,0,0,CONFIRMED,0
40.4195037,3.362,6260.0,7.51,36.9,0.911,5446.0,4.507,0.781,15.487,0,0,0,0,CANDIDATE,1
2.243380573,1.1196,822.0,1.99,38.9,0.915,4149.0,4.698,0.564,15.135,0,0,0,0,CONFIRMED,0
10.40599802,6.5036,14500.0,11.23,745.2,0.324,5746.0,4.393,0.924,15.562,0,1,0,0,FALSE POSITIVE,2
2.337437946,1.9982,971.0,2.34,82.4,0.28,5005.0,4.595,0.765,15.334,0,0,0,0,CONFIRMED,0
7.2406612,0.558,556.0,19.45,13.7,1.198,5005.0,4.595,0.765,15.334,0,0,0,0,CANDIDATE,1
3.43591631,3.133,23.2,0.55,8.7,0.624,5779.0,4.339,1.087,12.791,0,0,0,0,CANDIDATE,1
11.59822233,2.5237,2800.0,2.65,71.0,0.679,3688.0,4.79,0.473,15.937,0,0,0,0,CONFIRMED,0
6.575315881,4.3084,2790.0,5.31,221.1,0.39,5992.0,4.415,0.989,15.312,0,0,0,0,CONFIRMED,0
7.275040844,7.5377,3000.0,4.86,312.1,0.547,5485.0,4.556,0.867,15.08,0,0,0,0,CONFIRMED,0
19.27153892,2.7594,1220.0,1.93,37.1,0.031,4077.0,4.702,0.56,15.385,0,0,0,0,CONFIRMED,0
10.06524317,1.369,1050.0,1.91,30.3,0.628,4077.0,4.702,0.56,15.385,0,0,0,0,CONFIRMED,0
12.3935651,3.8896,917.0,2.66,35.8,0.883,5557.0,4.603,0.75,15.505,0,0,0,0,CONFIRMED,0
43.84439721,6.802,615.0,2.87,83.7,0.852,5854.0,4.406,1.012,12.882,0,0,0,0,CONFIRMED,0
3.341913228,3.813,725.0,21.55,39.0,1.213,5295.0,4.551,0.811,15.629,0,1,1,0,FALSE POSITIVE,2
1.626630225,2.1145,1620.0,32.43,103.6,1.26,5735.0,4.41,0.973,15.279,0,0,1,0,FALSE POSITIVE,2
2.711504086,3.0099,838.0,3.12,64.5,0.023,6214.0,4.442,1.076,15.541,0,0,0,0,CONFIRMED,0
7.21203748,4.0491,950.0,3.32,51.5,0.012,6214.0,4.442,1.076,15.541,0,0,0,0,CONFIRMED,0
14.1798187,2.505,460.0,1.88,11.2,0.1601,5799.0,4.539,0.878,15.727,0,0,0,1,FALSE POSITIVE,2
8.47237911,2.7245,1120.0,2.59,47.6,0.022,5354.0,4.587,0.788,15.339,0,0,0,0,CONFIRMED,0
60.4189369,5.039,931.0,2.36,20.1,0.094,5354.0,4.587,0.788,15.339,0,0,0,0,CONFIRMED,0
12.61190435,5.1497,6110.0,7.4,277.2,0.55,5795.0,4.508,0.919,15.14,0,0,0,0,CONFIRMED,0
1.433769925,1.8868,1980.0,46.58,112.6,1.268,6017.0,4.22,1.339,15.122,0,1,0,0,FALSE POSITIVE,2
10.31872301,3.836,872.0,28.59,38.2,1.215,5927.0,4.409,1.06,15.065,0,1,1,0,FALSE POSITIVE,2
2.539183147,2.4282,382.0,2.06,38.9,0.238,5519.0,4.35,1.062,15.026,0,0,0,0,CONFIRMED,0
6.770300385,2.0844,1300.0,2.77,50.8,0.838,5653.0,4.656,0.679,15.591,0,0,0,0,CONFIRMED,0
0.444291966,2.0792,11000.0,27.51,299.7,1.258,5255.0,4.678,0.636,15.748,0,1,1,1,FALSE POSITIVE,2
10.181584,3.5089,5740.0,7.73,183.6,0.92,5988.0,4.541,0.836,15.657,0,0,0,0,CANDIDATE,1
20.06036336,3.3203,1490.0,1.96,35.2,0.556,3950.0,4.754,0.493,15.954,0,0,0,0,CONFIRMED,0
46.1842039,4.758,1390.0,1.83,26.0,0.013,3950.0,4.754,0.493,15.954,0,0,0,0,CONFIRMED,0
23.9800854,5.351,104.0,1.31,17.1,0.95,5854.0,4.406,1.012,12.882,0,0,0,0,CONFIRMED,0
7.82502168,2.186,521.0,1.2,15.9,0.708,3950.0,4.754,0.493,15.954,0,0,0,0,CONFIRMED,0
3.895936525,2.3111,8540.0,7.34,370.8,0.524,5557.0,4.592,0.774,15.725,0,0,0,0,CONFIRMED,0
22.36646466,5.228,987.0,2.32,32.1,0.4,5395.0,4.615,0.734,15.583,0,0,0,0,CONFIRMED,0
1.625522174,2.38963,7970.0,9.73,799.7,0.076,5539.0,4.322,1.106,15.001,0,0,0,0,CONFIRMED,0
19.62034692,2.0038,21700.0,13.6,340.5,0.458,5710.0,4.492,0.905,15.562,0,0,0,0,CANDIDATE,1
7.544039,6.222,323.0,17.47,14.2,1.175,5657.0,4.567,0.824,15.559,1,0,1,0,FALSE POSITIVE,2
9.02930689,3.1449,1020.0,2.57,53.9,0.024,5349.0,4.526,0.82,15.387,0,0,0,0,CANDIDATE,1
10.32803571,7.7915,16900.0,13.28,636.8,0.281,5627.0,4.359,1.024,15.646,0,1,0,0,FALSE POSITIVE,2
143.2063047,8.9302,10600.0,8.9,138.8,0.379,5485.0,4.556,0.867,15.403,0,0,0,0,CONFIRMED,0
6.164876,3.262,55.8,0.79,14.4,0.646,5854.0,4.406,1.012,12.882,0,0,0,0,CONFIRMED,0
60.32494216,6.6188,20300.0,12.19,347.2,0.224,5485.0,4.556,0.867,15.403,0,0,0,0,CONFIRMED,0
29.1598615,4.803,488.0,1.91,11.6,0.3619,5485.0,4.556,0.867,15.403,0,0,0,0,CONFIRMED,0
1.540397253,2.1541,816.0,25.69,38.8,1.225,5663.0,4.53,0.915,15.974,0,0,1,1,FALSE POSITIVE,2
2.99025443,5.414,589.0,1.7,48.5,0.014,4667.0,4.578,0.731,15.842,0,0,1,1,FALSE POSITIVE,2
1.594745374,1.9604,15000.0,11.3,1009.3,0.514,5934.0,4.491,0.893,15.53,0,0,0,0,CONFIRMED,0
4.783002698,2.335,1010.0,2.5,70.6,0.003,5170.0,4.574,0.807,15.119,0,0,0,0,CANDIDATE,1
20.50588921,4.0595,2110.0,3.41,78.5,0.26,4905.0,4.544,0.761,15.398,0,0,0,0,CONFIRMED,0
3.340218842,1.9104,1630.0,2.03,71.6,0.466,3950.0,4.754,0.493,15.954,0,0,0,0,CONFIRMED,0
2.507089906,2.0067,1340.0,30.26,64.9,1.255,5926.0,4.506,0.939,15.555,0,1,1,0,FALSE POSITIVE,2
18.64932728,4.4056,894.0,3.12,46.1,0.08,5775.0,4.405,1.053,15.386,0,0,0,0,CONFIRMED,0
4.90144976,4.1654,141.0,1.7,50.6,0.529,5847.0,4.191,1.402,12.487,0,0,0,0,CONFIRMED,0
9.75192101,4.793,418.0,2.76,28.5,0.949,5775.0,4.405,1.053,15.386,0,0,0,0,CONFIRMED,0
38.5576546,5.794,993.0,4.02,39.7,0.911,5775.0,4.405,1.053,15.386,0,0,0,0,CONFIRMED,0
3.525632539,2.59959,22300.0,11.58,1996.7,0.12,5150.0,4.572,0.793,15.224,0,0,0,0,CONFIRMED,0
34.84398644,2.9315,4520.0,7.61,76.8,0.934,5509.0,4.482,0.871,15.684,0,0,0,0,CANDIDATE,1
7.748094239,3.5957,2470.0,5.52,113.2,0.517,5973.0,4.439,1.085,15.67,0,0,0,0,CONFIRMED,0
23.96793669,3.827,1180.0,1.8,27.5,0.416,3747.0,4.728,0.524,15.414,0,0,0,0,CONFIRMED,0
8.29561738,1.3421,824.0,1.82,17.9,0.888,3747.0,4.728,0.524,15.414,0,0,0,0,CONFIRMED,0
8.11437482,2.2736,1560.0,2.1,56.4,0.573,3692.0,4.753,0.517,15.877,0,0,0,0,CONFIRMED,0
38.03672948,4.34617,82900.0,27.5,1300.0,0.501,5575.0,4.521,0.932,15.472,0,1,0,0,FALSE POSITIVE,2
4.64090031,35.512,2450.0,30.09,296.9,1.28,6463.0,4.5,0.826,15.27,0,0,0,0,CANDIDATE,1
3.747838198,5.0642,616.0,13.65,138.2,1.121,5514.0,4.569,0.826,13.496,0,1,1,1,FALSE POSITIVE,2
14.74914825,6.0995,430.0,2.89,107.4,0.173,5847.0,4.191,1.402,12.487,0,0,0,0,CONFIRMED,0
21.81295996,4.3791,1180.0,3.38,37.8,0.053,5601.0,4.41,0.999,15.54,0,0,0,0,CONFIRMED,0
7.91936937,3.3148,15100.0,10.34,389.0,0.733,5690.0,4.588,0.776,15.805,0,1,0,0,FALSE POSITIVE,2
1.028436523,1.8606,8100.0,72.77,89.6,1.5734,6228.0,4.428,0.99,15.202,0,0,0,0,CANDIDATE,1
15.37562369,3.3169,15300.0,11.01,166.0,0.692,4986.0,4.496,0.833,16.422,0,0,0,0,CONFIRMED,0
8.10363271,3.161,888.0,2.11,39.3,0.047,4861.0,4.574,0.732,15.289,0,0,0,0,CONFIRMED,0
4.71510843,2.506,418.0,1.46,21.3,0.258,4861.0,4.574,0.732,15.289,0,0,0,0,CONFIRMED,0
6.365839713,2.9721,781.0,2.44,70.8,0.524,5776.0,4.554,0.849,15.09,0,0,0,0,CONFIRMED,0
5.97581754,3.065,962.0,3.86,50.3,0.941,6108.0,4.471,0.997,15.546,0,0,1,0,FALSE POSITIVE,2
2.446737317,4.7211,1180.0,26.25,110.2,1.241,5764.0,4.548,0.863,15.021,0,0,1,1,FALSE POSITIVE,2
3.04033046,1.8411,10900.0,8.99,568.2,0.736,5035.0,4.519,0.791,15.028,0,0,0,0,CONFIRMED,0
15.33528675,3.897,3080.0,5.0,86.6,0.773,5251.0,4.581,0.817,15.855,0,0,0,0,CONFIRMED,0
7.95825328,4.377,50.0,1.06,14.7,0.706,5847.0,4.191,1.402,12.487,0,0,0,0,CONFIRMED,0
